[2025-06-21 02:58:45,268] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
[2025-06-21 02:58:45,347] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 02:58:47,367] INFO: Factorio Created Save with name: default_save
[2025-06-21 02:58:47,367] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 02:58:47,368] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password GC6VAH4C44TXVYL --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 02:58:47,369] INFO: Factorio server started with PID 747
[2025-06-21 03:01:01,523] INFO: Manager initialized successfully.
[2025-06-21 03:01:01,524] INFO: Factorio server files not found, downloading...
[2025-06-21 03:01:01,530] INFO: Pulling factorio files for version 2.0.55
[2025-06-21 03:01:08,352] INFO: Factorio server files downloaded to /tmp/factorio_downloads/factorio.tar.xz
[2025-06-21 03:01:08,362] INFO: Installing Factorio server files from /tmp/factorio_downloads/factorio.tar.xz to /opt/factorio
[2025-06-21 03:01:14,016] INFO: Creating necessary directories in /opt/factorio
[2025-06-21 03:01:14,023] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
[2025-06-21 03:01:14,109] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:01:16,158] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:01:16,158] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:01:16,159] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:01:16,160] INFO: Factorio server started with PID 747
[2025-06-21 03:02:06,517] INFO: Manager initialized successfully.
[2025-06-21 03:02:06,518] INFO: Factorio server is not running, starting...
[2025-06-21 03:02:06,519] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:02:08,998] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:02:08,998] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:02:08,999] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:02:09,000] INFO: Factorio server started with PID 1486
[2025-06-21 03:02:20,100] INFO: Manager initialized successfully.
[2025-06-21 03:02:20,101] INFO: Factorio server is not running, starting...
[2025-06-21 03:02:20,101] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:02:22,075] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:02:22,076] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:02:22,076] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:02:22,077] INFO: Factorio server started with PID 2225
[2025-06-21 03:02:27,690] INFO: Manager initialized successfully.
[2025-06-21 03:02:27,691] INFO: Factorio server files not found, downloading...
[2025-06-21 03:02:27,702] INFO: Pulling factorio files for version 2.0.54
[2025-06-21 03:02:35,983] INFO: Factorio server files downloaded to /tmp/factorio_downloads/factorio.tar.xz
[2025-06-21 03:02:35,993] INFO: Installing Factorio server files from /tmp/factorio_downloads/factorio.tar.xz to /opt/factorio
[2025-06-21 03:02:41,624] INFO: Creating necessary directories in /opt/factorio
[2025-06-21 03:02:41,630] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
[2025-06-21 03:02:41,713] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 03:02:43,694] INFO: Factorio Created Save with name: default_save
[2025-06-21 03:02:43,695] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 03:02:43,695] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password 408110T67OC37Z9 --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --console-log-location /factorio --start-server /factorio/saves/default_save.zip
[2025-06-21 03:02:43,696] INFO: Factorio server started with PID 2969
[2025-06-21 03:03:43,696] INFO: Checking for Factorio server updates...
[2025-06-21 03:03:44,463] INFO: Checking if players are online...
[2025-06-21 03:03:44,464] INFO: Stopping Factorio server to update files...
[2025-06-21 03:03:44,464] INFO: Stopping Factorio server with PID 2969
[2025-06-21 03:04:44,463] INFO: Finished waiting for Factorio server to stop.
